"CoreId","Identifier","type","rightsHolder","creator","accessURI","format","variantLiteral","license"
"296911@OBS","https://observation.org/photos/9999/","StillImage","André den Ouden","Andre den Ouden","https://observation.org/photos/9999.jpg","image/jpeg","Best Quality","All rights reserved"
"45689812@OBS","https://observation.org/photos/999999/","StillImage","Hans van Kersbergen","Hans van Kersbergen","https://observation.org/photos/999999.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"84618254@OBS","https://observation.org/photos/9999990/","StillImage","Will Schep","Will Schep","https://observation.org/photos/9999990.jpg","image/jpeg","Best Quality","All rights reserved"
"113398110@OBS","https://observation.org/photos/9999964/","StillImage","Alexander Welle","Alexander Welle","https://observation.org/photos/9999964.jpg","image/jpeg","Best Quality","All rights reserved"
"113398110@OBS","https://observation.org/photos/9999962/","StillImage","Alexander Welle","Alexander Welle","https://observation.org/photos/9999962.jpg","image/jpeg","Best Quality","All rights reserved"
"45689774@OBS","https://observation.org/photos/999995/","StillImage","Eric Brandes","Eric Brandes","https://observation.org/photos/999995.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113398110@OBS","https://observation.org/photos/9999957/","StillImage","Alexander Welle","Alexander Welle","https://observation.org/photos/9999957.jpg","image/jpeg","Best Quality","All rights reserved"
"113398064@OBS","https://observation.org/photos/9999952/","StillImage","Alexander Welle","Alexander Welle","https://observation.org/photos/9999952.jpg","image/jpeg","Best Quality","All rights reserved"
"113397996@OBS","https://observation.org/photos/9999942/","StillImage","Alexander Welle","Alexander Welle","https://observation.org/photos/9999942.jpg","image/jpeg","Best Quality","All rights reserved"
"113397967@OBS","https://observation.org/photos/9999937/","StillImage","Alexander Welle","Alexander Welle","https://observation.org/photos/9999937.jpg","image/jpeg","Best Quality","All rights reserved"
"113397670@OBS","https://observation.org/photos/9999931/","StillImage","Jan Willem Jonker","Jan Willem Jonker","https://observation.org/photos/9999931.jpg","image/jpeg","Best Quality","All rights reserved"
"113397670@OBS","https://observation.org/photos/9999929/","StillImage","Jan Willem Jonker","Jan Willem Jonker","https://observation.org/photos/9999929.jpg","image/jpeg","Best Quality","All rights reserved"
"81273075@OBS","https://observation.org/photos/9999922/","StillImage","Will Schep","Will Schep","https://observation.org/photos/9999922.jpg","image/jpeg","Best Quality","All rights reserved"
"81273075@OBS","https://observation.org/photos/9999921/","StillImage","Will Schep","Will Schep","https://observation.org/photos/9999921.jpg","image/jpeg","Best Quality","All rights reserved"
"45689749@OBS","https://observation.org/photos/999991/","StillImage","Eric Brandes","Eric Brandes","https://observation.org/photos/999991.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"45689749@OBS","https://observation.org/photos/999990/","StillImage","Eric Brandes","Eric Brandes","https://observation.org/photos/999990.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
